"type","generator","copyright","timestamp","features__type","features__properties__@id","features__properties__created_by","features__properties__leisure","features__geometry__type","features__geometry__coordinates__001","features__geometry__coordinates__002","features__id","features__properties__access","features__properties__name","features__properties__operator","features__properties__layer","features__properties__source","features__properties__natural","features__properties__tourism","features__properties__amenity","features__properties__website","features__properties__equipment","features__properties__shade","features__properties__wheelchair","features__properties__addr:city","features__properties__addr:housenumber","features__properties__addr:postcode","features__properties__addr:street","features__properties__phone","features__properties__opening_hours","features__properties__wikidata","features__properties__wikipedia","features__properties__name:en","features__properties__surface","features__properties__playground:theme","features__properties__addr:province","features__properties__description","features__properties__fee","features__properties__indoor"
"","","","","Feature","node/479783323","","playground","Point","145.012635","-37.7845309","node/479783323","yes","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Feature","node/480642598","","playground","Point","145.1312597","-37.9746839","node/480642598","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Feature","node/513060666","","playground","Point","145.010635","-37.8338459","node/513060666","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Feature","node/517227616","","playground","Point","144.9936108","-37.8439811","node/517227616","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Feature","node/523610232","","playground","Point","144.9853873","-37.8487722","node/523610232","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Feature","node/532813158","","playground","Point","144.9997718","-37.8396865","node/532813158","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Feature","node/534016281","","playground","Point","144.9984553","-37.8193786","node/534016281","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Feature","node/535017192","","playground","Point","144.9876992","-37.8390924","node/535017192","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Feature","node/536295107","","playground","Point","144.9897876","-37.8437714","node/536295107","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Feature","node/536295109","","playground","Point","144.9905858","-37.8447204","node/536295109","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Feature","node/541421515","","playground","Point","145.1164954","-37.909801","node/541421515","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Feature","node/549746518","","playground","Point","144.9865788","-37.8115614","node/549746518","yes","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Feature","node/555699127","","playground","Point","144.9536971","-37.8445057","node/555699127","yes","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Feature","node/560213036","","playground","Point","144.9503284","-37.8361993","node/560213036","yes","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Feature","node/567771661","","playground","Point","144.9390567","-37.7558812","node/567771661","","","","","nearmap","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Feature","node/568944130","","playground","Point","144.9407457","-37.8381105","node/568944130","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Feature","node/570482554","","playground","Point","145.0098288","-37.85135","node/570482554","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Feature","node/572091214","","playground","Point","144.9770337","-37.8579005","node/572091214","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Feature","node/575455085","","playground","Point","145.0002055","-37.8524619","node/575455085","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Feature","node/576843552","","playground","Point","144.9940776","-37.8546583","node/576843552","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Feature","node/581429477","","playground","Point","145.2150406","-37.8814829","node/581429477","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Feature","node/582553483","","playground","Point","145.1093565","-37.8048882","node/582553483","","","","","nearmap","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Feature","node/582558472","","playground","Point","145.1294368","-37.801367","node/582558472","","","","","nearmap","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Feature","node/582785631","","playground","Point","144.9675983","-37.8385382","node/582785631","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Feature","node/583063466","","playground","Point","144.9830271","-37.8613837","node/583063466","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Feature","node/583093691","","playground","Point","145.1490242","-37.8791951","node/583093691","","Fiander Avenue Playground","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Feature","node/585512639","","playground","Point","144.7467584","-37.6986405","node/585512639","","","","","nearmap","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Feature","node/585686503","","playground","Point","145.0794089","-37.9779946","node/585686503","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Feature","node/585686505","","playground","Point","145.0848699","-38.0086828","node/585686505","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Feature","node/585686531","","playground","Point","145.0722313","-37.9751488","node/585686531","","Reg Marlow Reserve","","","Sign at playground.","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Feature","node/585686534","","playground","Point","145.0686049","-37.9721337","node/585686534","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Feature","node/585686535","","playground","Point","145.0715983","-37.9709369","node/585686535","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Feature","node/588393097","","playground","Point","144.8736467","-37.7775159","node/588393097","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Feature","node/590694155","","playground","Point","144.8891527","-37.8044894","node/590694155","","","","","nearmap","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Feature","node/594518606","","playground","Point","145.1676335","-37.8647074","node/594518606","","","","","nearmap","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Feature","node/599429539","","playground","Point","145.0176352","-37.7495149","node/599429539","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Feature","node/599442166","","playground","Point","145.0050556","-37.7722897","node/599442166","yes","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Feature","node/602897462","","playground","Point","145.0612869","-37.7788354","node/602897462","yes","","","","nearmap","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Feature","node/602911465","","playground","Point","145.080365","-37.7591036","node/602911465","","","","","nearmap","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Feature","node/603005216","","playground","Point","145.1753226","-37.7627797","node/603005216","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Feature","node/603010591","","playground","Point","145.1679559","-37.7674805","node/603010591","","","","","nearmap","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Feature","node/603578577","","playground","Point","144.7906577","-37.7181353","node/603578577","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Feature","node/604126307","","playground","Point","145.0683797","-37.8229818","node/604126307","","","","","nearmap","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Feature","node/604327110","","playground","Point","145.0386092","-37.7490595","node/604327110","","","","","nearmap","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Feature","node/605203944","","playground","Point","145.1312309","-37.69991","node/605203944","","","","","survey","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Feature","node/605203946","","playground","Point","145.123314","-37.7040781","node/605203946","","","","","survey","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Feature","node/605203947","","playground","Point","145.1319721","-37.707032","node/605203947","","","","","survey","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Feature","node/605203949","","playground","Point","145.158805","-37.7110213","node/605203949","","","","","","","","","","","","","","","","","","","","","","","","","","",""
